,评论发表时间,评论内容,评论发表地点,点赞数,评论数,转发数
390,Mon Dec 19 02:32:58 +0800 2022,"【<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E9%87%91%E7%90%83%E5%A5%96%E6%A2%85%E8%A5%BF%23&luicode=10000011&lfid=231522type%3D1%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23%26t%3D10"" data-hide=""""><span class=""surl-text"">#金球奖梅西#</span></a>】2022年卡塔尔世界杯最有价值球员：梅西！ 实至名归！<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23&luicode=10000011&lfid=231522type%3D1%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23%26t%3D10"" data-hide=""""><span class=""surl-text"">#阿根廷冠军#</span></a> （图自视觉中国） ",北京,442686,12330,442686
224,Mon Dec 19 02:44:42 +0800 2022,"【<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%A2%85%E8%A5%BF%E6%8D%A7%E8%B5%B7%E5%A4%A7%E5%8A%9B%E7%A5%9E%E6%9D%AF%23&extparam=%23%E6%A2%85%E8%A5%BF%E6%8D%A7%E8%B5%B7%E5%A4%A7%E5%8A%9B%E7%A5%9E%E6%9D%AF%23&luicode=10000011&lfid=231522type%3D1%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23%26t%3D10"" data-hide=""""><span class=""surl-text"">#梅西捧起大力神杯#</span></a>】<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%A2%85%E8%A5%BF%E6%A2%A6%E5%9C%86%E5%8D%A1%E5%A1%94%E5%B0%94%23&extparam=%23%E6%A2%85%E8%A5%BF%E6%A2%A6%E5%9C%86%E5%8D%A1%E5%A1%94%E5%B0%94%23&luicode=10000011&lfid=231522type%3D1%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23%26t%3D10"" data-hide=""""><span class=""surl-text"">#梅西梦圆卡塔尔#</span></a> <a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23&luicode=10000011&lfid=231522type%3D1%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23%26t%3D10"" data-hide=""""><span class=""surl-text"">#阿根廷冠军#</span></a> （图自视觉中国） ",北京,84773,3469,84773
226,Mon Dec 19 02:44:42 +0800 2022,"【<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%A2%85%E8%A5%BF%E6%8D%A7%E8%B5%B7%E5%A4%A7%E5%8A%9B%E7%A5%9E%E6%9D%AF%23&extparam=%23%E6%A2%85%E8%A5%BF%E6%8D%A7%E8%B5%B7%E5%A4%A7%E5%8A%9B%E7%A5%9E%E6%9D%AF%23&luicode=10000011&lfid=231522type%3D1%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23%26t%3D10"" data-hide=""""><span class=""surl-text"">#梅西捧起大力神杯#</span></a>】<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%A2%85%E8%A5%BF%E6%A2%A6%E5%9C%86%E5%8D%A1%E5%A1%94%E5%B0%94%23&extparam=%23%E6%A2%85%E8%A5%BF%E6%A2%A6%E5%9C%86%E5%8D%A1%E5%A1%94%E5%B0%94%23&luicode=10000011&lfid=231522type%3D1%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23%26t%3D10"" data-hide=""""><span class=""surl-text"">#梅西梦圆卡塔尔#</span></a> <a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23&luicode=10000011&lfid=231522type%3D1%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23%26t%3D10"" data-hide=""""><span class=""surl-text"">#阿根廷冠军#</span></a> （图自视觉中国） ",北京,84773,3469,84773
397,Tue Dec 20 22:13:56 +0800 2022,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%B8%B8%E8%A1%8C%E4%B8%AD%E6%9C%89%E4%BA%BA%E6%89%94%E7%BB%99%E6%A2%85%E8%A5%BF%E4%B8%80%E4%B8%AA%E5%BF%8D%E8%80%85%E7%A5%9E%E9%BE%9F%23&extparam=%23%E6%B8%B8%E8%A1%8C%E4%B8%AD%E6%9C%89%E4%BA%BA%E6%89%94%E7%BB%99%E6%A2%85%E8%A5%BF%E4%B8%80%E4%B8%AA%E5%BF%8D%E8%80%85%E7%A5%9E%E9%BE%9F%23&luicode=10000011&lfid=231522type%3D1%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23%26t%3D10"" data-hide=""""><span class=""surl-text"">#游行中有人扔给梅西一个忍者神龟#</span></a> <br /><br />阿根廷队夺得了本届世界杯冠军，目前球队已经回到国内。<br /><br />有球迷拍到，阿根廷冠军游行中有人扔给了梅西一个忍者神龟，梅西看着笑了笑后扔了回去。<br /><br /><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%E6%B8%B8%E8%A1%8C%23&extparam=%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%E6%B8%B8%E8%A1%8C%23&luicode=10000011&lfid=231522type%3D1%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23%26t%3D10"" data-hide=""""><span class=""surl-text"">#阿根廷冠军游行#</span></a><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23&luicode=10000011&lfid=231522type%3D1%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23%26t%3D10"" data-hide=""""><span class=""surl-text"">#阿根廷冠军#</span></a> <a  href=""https://video.weibo.com/show?fid=1034:4848875798986804"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png'></span><span class=""surl-text"">咪咕体育的微博视频</span></a> ",北京,38346,1167,38346
622,Sun Dec 18 23:43:01 +0800 2022,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%A2%85%E8%A5%BF+%E9%87%91%E7%90%83%E5%A5%96%23&extparam=%23%E6%A2%85%E8%A5%BF+%E9%87%91%E7%90%83%E5%A5%96%23&luicode=10000011&lfid=231522type%3D1%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23%26t%3D10"" data-hide=""""><span class=""surl-text"">#梅西 金球奖#</span></a> <a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23&luicode=10000011&lfid=231522type%3D1%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23%26t%3D10"" data-hide=""""><span class=""surl-text"">#阿根廷冠军#</span></a> <br /><br />🇦🇷阿根廷新总统·梅西！<br />这不是我说的，阿根廷前总统说的！<br />(梅西太不容易了！职业生涯堪称完美的球员！)<br /><br />阿根廷籍🇦🇷溜达老大爷·梅建军同志这几年开启了省电模式后，见缝插针，越老越妖，绝不让自己无效耗电，这不是服老，是智慧、是球商。C罗我也很喜欢，但 ...<a href=""/status/4848173841396532"">全文</a>",江苏,20398,3719,20398
618,Sun Dec 18 23:43:01 +0800 2022,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%A2%85%E8%A5%BF+%E9%87%91%E7%90%83%E5%A5%96%23&extparam=%23%E6%A2%85%E8%A5%BF+%E9%87%91%E7%90%83%E5%A5%96%23&luicode=10000011&lfid=231522type%3D1%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23%26t%3D10"" data-hide=""""><span class=""surl-text"">#梅西 金球奖#</span></a> <a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23&luicode=10000011&lfid=231522type%3D1%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23%26t%3D10"" data-hide=""""><span class=""surl-text"">#阿根廷冠军#</span></a> <br /><br />🇦🇷阿根廷新总统·梅西！<br />这不是我说的，阿根廷前总统说的！<br />(梅西太不容易了！职业生涯堪称完美的球员！)<br /><br />阿根廷籍🇦🇷溜达老大爷·梅建军同志这几年开启了省电模式后，见缝插针，越老越妖，绝不让自己无效耗电，这不是服老，是智慧、是球商。C罗我也很喜欢，但 ...<a href=""/status/4848173841396532"">全文</a>",江苏,20397,3719,20397
294,Mon Dec 19 11:33:12 +0800 2022,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23&luicode=10000011&lfid=231522type%3D1%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23%26t%3D10"" data-hide=""""><span class=""surl-text"">#阿根廷冠军#</span></a><br /><br />昨晚法国球迷和阿根廷球迷的反应对比<br /><br /><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%B9%B4%E7%BB%88%E6%AC%A2%E4%B9%90%E5%A4%A7%E4%BD%9C%E6%88%98%23&extparam=%23%E5%B9%B4%E7%BB%88%E6%AC%A2%E4%B9%90%E5%A4%A7%E4%BD%9C%E6%88%98%23&luicode=10000011&lfid=231522type%3D1%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23%26t%3D10"" data-hide=""""><span class=""surl-text"">#年终欢乐大作战#</span></a> // <a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%BE%AE%E5%8D%9A%E5%B9%BD%E9%BB%98%E5%B9%B4%E5%BA%A6%E5%A4%A7%E8%B5%8F%23&extparam=%23%E5%BE%AE%E5%8D%9A%E5%B9%BD%E9%BB%98%E5%B9%B4%E5%BA%A6%E5%A4%A7%E8%B5%8F%23&luicode=10000011&lfid=231522type%3D1%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23%26t%3D10"" data-hide=""""><span class=""surl-text"">#微博幽默年度大赏#</span></a> // <a  href=""https://video.weibo.com/show?fid=1034:4848351934611611"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png'></span><span class=""surl-text"">internet-garcon-pdf的微博视频</span></a> ",香港,16373,480,16373
93,Mon Dec 19 03:07:05 +0800 2022,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23&luicode=10000011&lfid=231522type%3D1%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23%26t%3D10"" data-hide=""""><span class=""surl-text"">#阿根廷冠军#</span></a>嗓子太疼了坚持到了现在！！！心底的呐喊听见了吗！！！<span class=""url-icon""><img alt=""[赢牛奶]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/9c/2021_yingniunai_org.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=""[赢牛奶]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/9c/2021_yingniunai_org.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=""[赢牛奶]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/9c/2021_yingniunai_org.png"" style=""width:1em; height:1em;"" /></span>恭喜阿根廷！恭喜梅西！！！历史第三次世界杯冠军！我！！见证历史了！！！⚽️ ",北京,12042,870,12042
232,Mon Dec 19 09:31:10 +0800 2022,"阿圭罗在阿根廷更衣室直播唱歌时嘲笑法国球员卡马文加.....<br /><br />阿圭罗：为什么卡马文加长着一张XX脸（Para Camavinga… por qué… Que tiene cara de pinga）<br /><br /><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23&luicode=10000011&lfid=231522type%3D1%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23%26t%3D10"" data-hide=""""><span class=""surl-text"">#阿根廷冠军#</span></a> <a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B77%E6%AF%945%E6%B3%95%E5%9B%BD%23&extparam=%23%E9%98%BF%E6%A0%B9%E5%BB%B77%E6%AF%945%E6%B3%95%E5%9B%BD%23&luicode=10000011&lfid=231522type%3D1%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23%26t%3D10"" data-hide=""""><span class=""surl-text"">#阿根廷7比5法国#</span></a> <a  href=""https://video.weibo.com/show?fid=1034:4848320074678318"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png'></span><span class=""surl-text"">英国足球那点事的微博视频</span></a> ",北京,11459,716,11459
